category,n_points,eps,eps_unit,min_samples,n_clusters,n_noise,noise_pct,silhouette,score,est_eps_min,est_eps_max
flood,6237,45.567395,km,2,1052,1612,25.85,0.793081,0.588103,2.850289,205.756545
road-damage,2500,1.042912,km,10,25,794,31.76,0.441865,0.301529,0.073063,1.096792
