eps,min_samples,n_clusters,n_noise,noise_pct,silhouette,score,rank
15.0,8,0,450,100.0,0.0,-1.0,95
21.07142857142857,4,1,439,97.56,0.0,-1.0,96
21.07142857142857,5,1,439,97.56,0.0,-1.0,97
21.07142857142857,6,1,442,98.22,0.0,-1.0,98
21.07142857142857,7,1,442,98.22,0.0,-1.0,99
21.07142857142857,8,1,442,98.22,0.0,-1.0,100
27.142857142857142,7,1,438,97.33,0.0,-1.0,101
27.142857142857142,8,1,438,97.33,0.0,-1.0,102
33.214285714285715,7,1,438,97.33,0.0,-1.0,103
33.214285714285715,8,1,438,97.33,0.0,-1.0,104
39.285714285714285,8,1,438,97.33,0.0,-1.0,105
