eps,min_samples,n_clusters,n_noise,silhouette,score,is_best
60.0,3,22,155,0.43440064441311527,0.2847737557819311,1
56.785714285714285,3,25,163,0.3845069848360012,0.24523001032873853,0
56.785714285714285,2,48,117,0.32897418481375407,0.243440896762178,0
34.285714285714285,2,49,242,0.5198554858882377,0.2402887579216743,0
60.0,2,47,105,0.3043647282090597,0.23334629162694578,0
60.0,4,14,200,0.4086165444824612,0.22700919137914513,0
37.5,2,57,213,0.42602536377635075,0.22437335825554472,0
53.57142857142857,3,26,178,0.3605616168825271,0.2179394662045497,0
50.35714285714286,2,53,141,0.29696121875470605,0.2039133702115648,0
53.57142857142857,4,14,233,0.42065704723205566,0.20285017610968017,0
31.071428571428573,2,47,275,0.5166596905364793,0.2009232129864086,0
50.35714285714286,3,25,197,0.357301892614403,0.20088306406987544,0
60.0,5,12,233,0.4150075882607099,0.20012588145016455,0
60.0,6,9,270,0.49521863298081836,0.19808745319232735,0
37.5,3,21,285,0.5365407560781275,0.19673161056198005,0
43.92857142857143,4,13,282,0.5233813334432621,0.19539569781881785,0
43.92857142857143,2,52,181,0.3230670850713616,0.19312232418710282,0
43.92857142857143,3,23,239,0.4117721566255179,0.19307538899552062,0
50.35714285714286,4,13,248,0.4255650554292663,0.19103142488158176,0
50.35714285714286,6,6,317,0.6372567222607488,0.188344764579288,0
47.142857142857146,2,55,160,0.28864992181798926,0.18601883850492643,0
53.57142857142857,6,7,302,0.5625541759069845,0.18501781785385268,0
53.57142857142857,2,52,126,0.2558353993183989,0.1842014875092472,0
56.785714285714285,6,10,277,0.4732177238530229,0.1819259249479399,0
47.142857142857146,5,10,300,0.5451071493818898,0.18170238312729659,0
27.857142857142858,2,43,313,0.5855759905598487,0.17827535712599837,0
34.285714285714285,3,21,298,0.5161692767332946,0.17435051125213508,0
47.142857142857146,3,28,214,0.32851499167224046,0.17228786229921947,0
56.785714285714285,5,10,259,0.40298862314173894,0.17104628226682697,0
40.714285714285715,3,19,267,0.41781135658426877,0.16990995167760264,0
56.785714285714285,4,17,214,0.3220114482541511,0.16887711508439926,0
24.642857142857142,2,38,342,0.6960864385125924,0.16706074524302217,0
53.57142857142857,5,11,264,0.39919267741947406,0.16499964000004927,0
40.714285714285715,2,54,197,0.2916501773083821,0.1639722107978237,0
47.142857142857146,4,11,275,0.4141661761065877,0.16106462404145078,0
40.714285714285715,4,12,307,0.5060655591520897,0.16081638879721963,0
50.35714285714286,5,11,278,0.41431933166088003,0.15836205565704747,0
43.92857142857143,5,10,311,0.5108659621492077,0.15780081941942192,0
21.42857142857143,2,36,358,0.7103414553290672,0.1452253642006093,0
37.5,4,12,327,0.5202047665181359,0.14218930284829046,0
31.071428571428573,3,19,331,0.5140528586810842,0.1359384226289978,0
47.142857142857146,6,6,332,0.47426359381411887,0.12436245348903563,0
37.5,5,10,353,0.5582404955019186,0.12033184014152466,0
43.92857142857143,6,6,335,0.469709100172775,0.1200367700441536,0
34.285714285714285,4,15,339,0.4390612901594299,0.10830178490599271,0
27.857142857142858,3,18,363,0.5399642311144495,0.1043930846821269,0
24.642857142857142,3,14,390,0.7117470735361258,0.09489960980481676,0
18.214285714285715,2,25,391,0.723501721022144,0.09485911453401445,0
34.285714285714285,5,8,386,0.6529191052697814,0.09285960608281335,0
40.714285714285715,6,8,360,0.45133755785524216,0.09026751157104844,0
40.714285714285715,5,8,333,0.3235012924089806,0.08411033602633497,0
37.5,6,6,399,0.7332508929731176,0.08310176787028666,0
31.071428571428573,4,14,372,0.4415662913891795,0.07653815717412445,0
27.857142857142858,4,8,404,0.7005135040558003,0.07160804708125959,0
31.071428571428573,5,4,416,0.9202822663817881,0.06953243790440176,0
21.42857142857143,3,10,410,0.7582498674706346,0.06739998821961196,0
15.0,2,16,410,0.7415340754738728,0.06591414004212204,0
34.285714285714285,6,3,424,0.9331769769057326,0.053916891998997886,0
24.642857142857142,4,5,421,0.8324167576627902,0.053644635493824255,0
27.857142857142858,5,2,432,0.9337184042655272,0.03734873617062109,0
27.857142857142858,6,2,432,0.9337184042655272,0.03734873617062109,0
31.071428571428573,6,2,432,0.9337184042655272,0.03734873617062109,0
18.214285714285715,3,2,437,0.7752631551115563,0.02239649114766718,0
15.0,3,2,438,0.8050175094685712,0.021467133585828566,0
15.0,4,1,441,0.0,-1.0,0
15.0,5,1,445,0.0,-1.0,0
15.0,6,0,450,0.0,-1.0,0
18.214285714285715,4,1,441,0.0,-1.0,0
18.214285714285715,5,1,442,0.0,-1.0,0
18.214285714285715,6,1,444,0.0,-1.0,0
21.42857142857143,4,1,439,0.0,-1.0,0
21.42857142857143,5,1,439,0.0,-1.0,0
21.42857142857143,6,1,442,0.0,-1.0,0
24.642857142857142,5,1,438,0.0,-1.0,0
24.642857142857142,6,1,439,0.0,-1.0,0
